"country_code","dim1_prev","dim2_prev","dim1_curr","dim2_curr","delta_dim1","delta_dim2","delta_l2","delta_l1","delta_max","idx","startlegis","endlegis","active_periods","n_items_total","n_items_active","n_obs","n_pos","n_neg","n_missing","pct_missing","obs_rate_active","active_periods_with_votes","prop_active_periods_with_votes","mean_obs_per_active_period","min_obs_active_period","max_obs_active_period"
"IDN",-0.682740825350432,-0.796305166941326,-0.663003845314101,-0.814674360925635,0.0197369800363316,-0.0183691939843096,0.0269624863205853,0.0381061740206412,0.0197369800363316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BOL",0.823908373460596,0.940551839628882,0.799756304351583,0.950976595696286,-0.0241520691090131,0.0104247560674041,0.0263058545063913,0.0345768251764172,0.0241520691090131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LIE",0.620900229010101,0.557016174808522,0.605931930833854,0.577881876735072,-0.0149682981762465,0.0208657019265497,0.0256793198348524,0.0358340001027961,0.0208657019265497,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PYF",0.34870626545456,0.952520699194741,0.323768279359472,0.951110075274452,-0.0249379860950885,-0.00141062392028868,0.0249778503943658,0.0263486100153772,0.0249379860950885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LAO",0.881138893999293,0.799884607040533,0.860711764824892,0.813232488679768,-0.0204271291744015,0.0133478816392352,0.0244015071371158,0.0337750108136367,0.0204271291744015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MYS",0.851493651865649,0.622875732547739,0.833795402060413,0.637883663062908,-0.0176982498052354,0.0150079305151691,0.023204870706743,0.0327061803204045,0.0176982498052354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ZAF",0.948127317227496,0.803533838247909,0.928552631980288,0.815901665746569,-0.0195746852472074,0.0123678274986598,0.0231545127256836,0.0319425127458672,0.0195746852472074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEU",0.804675560876997,0.763561419440804,0.78465984822026,0.772134624769515,-0.020015712656737,0.00857320532871131,0.0217744943170973,0.0285889179854483,0.020015712656737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TKL",0.602360318002074,0.834131137965174,0.581268293237569,0.835368227077846,-0.0210920247645049,0.00123708911267195,0.021128272483551,0.0223291138771768,0.0210920247645049,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CYP",0.830775908136533,0.690915467708043,0.813925879644005,0.702388359124538,-0.0168500284925279,0.0114728914164948,0.0203850606487614,0.0283229199090227,0.0168500284925279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"URY",0.996911108235201,0.686911644258815,0.981614447582452,0.699547141255498,-0.0152966606527493,0.0126354969966832,0.019840453913118,0.0279321576494325,0.0152966606527493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GTM",0.561808045754597,0.708494120059621,0.542216219709331,0.70920937890289,-0.0195918260452655,0.000715258843268174,0.0196048780409575,0.0203070848885337,0.0195918260452655,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LVA",0.676529368997029,0.657168646845302,0.659385643284242,0.664622983246355,-0.017143725712787,0.00745433640105342,0.0186942360768057,0.0245980621138404,0.017143725712787,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BRN",0.884448516847028,0.637533909231109,0.869178162540932,0.64823478553236,-0.0152703543060955,0.0107008763012514,0.0186465137290694,0.0259712306073469,0.0152703543060955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MAC",0.622460459311099,0.701291770817651,0.604870520966046,0.70362478737002,-0.0175899383450535,0.00233301655236928,0.0177439820000025,0.0199229548974228,0.0175899383450535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ROU",0.97822729132154,0.421097322693083,0.967539572665685,0.43515378407268,-0.010687718655855,0.0140564613795976,0.0176581832752645,0.0247441800354526,0.0140564613795976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COM",0.73063820740749,0.471391933551867,0.717674770959976,0.482361704347398,-0.0129634364475141,0.0109697707955307,0.0169819479399513,0.0239332072430448,0.0129634364475141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BFA",0.235816069751418,0.621357311538819,0.218945989365883,0.621685593691437,-0.0168700803855349,0.000328282152618153,0.0168732741750419,0.017198362538153,0.0168700803855349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NCL",0.570975128665354,0.623712102123042,0.554745984970586,0.627856418857026,-0.0162291436947684,0.00414431673398441,0.0167499392911444,0.0203734604287528,0.0162291436947684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SWE",0.570975128665354,0.623712102123042,0.554745984970586,0.627856418857026,-0.0162291436947684,0.00414431673398441,0.0167499392911444,0.0203734604287528,0.0162291436947684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"STP",0.499354178085698,0.651220526627288,0.48304843386325,0.652039562813116,-0.0163057442224478,0.000819036185828237,0.016326301323986,0.017124780408276,0.0163057442224478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PAK",0.702609124598913,0.254805205906038,0.696519306198795,0.268014544406731,-0.00608981840011746,0.0132093385006932,0.0145455323646921,0.0192991569008107,0.0132093385006932,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GAB",0.695272985624421,0.342705544457621,0.685120709065468,0.350669603933427,-0.0101522765589529,0.00796405947580614,0.0129032927062685,0.018116336034759,0.0101522765589529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LSO",0.612306527172048,0.0765658697483267,0.609839976060601,0.0891554245599469,-0.00246655111144745,0.0125895548116202,0.0128289034893935,0.0150561059230677,0.0125895548116202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SYR",0.493392877718142,0.379675648851576,0.48350771834844,0.387603040339203,-0.00988515936970186,0.00792739148762661,0.0126712237594677,0.0178125508573285,0.00988515936970186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AFG",0.428632585909454,-0.38372376731219,0.438192112218547,-0.376570392511959,0.00955952630909285,0.00715337480023132,0.0119396530220448,0.0167129011093242,0.00955952630909285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FLK",0.459699695869555,0.356599529806375,0.450610123034012,0.363209218176876,-0.00908957283554274,0.00660968837050085,0.0112386971970852,0.0156992612060436,0.00908957283554274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SXM",0.608885588374808,0.302114804484061,0.600499808255819,0.309494243194407,-0.00838578011898927,0.00737943871034535,0.0111703815460252,0.0157652188293346,0.00838578011898927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SLV",0.484367543146186,0.335790001242331,0.4758051207468,0.34244437229105,-0.0085624223993851,0.00665437104871947,0.0108441565554693,0.0152167934481046,0.0085624223993851,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SLE",0.545015636459244,0.393366862254809,0.535166121694867,0.39787816669736,-0.00984951476437723,0.00451130444255021,0.0108335039976481,0.0143608192069274,0.00984951476437723,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MWI",0.492840861196987,0.230270220880712,0.487427214885252,0.238999230344458,-0.00541364631173463,0.00872900946374566,0.0102714737310047,0.0141426557754803,0.00872900946374566,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BEN",0.507160251392727,-0.131322471793946,0.51096312914406,-0.121792328375725,0.00380287775133314,0.00953014341822089,0.0102608729045556,0.013333021169554,0.00953014341822089,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GNQ",0.434912137662924,0.390186534840884,0.425087471631458,0.390664444955568,-0.00982466603146526,0.000477910114683955,0.00983628287045185,0.0103025761461492,0.00982466603146526,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SWZ",0.250579829453678,0.337882773381706,0.242361093987227,0.340392752174743,-0.00821873546645119,0.00250997879303694,0.0085934629928218,0.0107287142594881,0.00821873546645119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAN",0.409401302141601,0.30950623833666,0.401373783881497,0.312260469610255,-0.00802751826010462,0.00275423127359548,0.00848686274925926,0.0107817495337001,0.00802751826010462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CPV",0.409401302141601,0.30950623833666,0.401373783881497,0.312260469610255,-0.00802751826010462,0.00275423127359548,0.00848686274925926,0.0107817495337001,0.00802751826010462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPM",0.409401302141601,0.30950623833666,0.401373783881497,0.312260469610255,-0.00802751826010462,0.00275423127359548,0.00848686274925926,0.0107817495337001,0.00802751826010462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"VUT",0.469712023736627,0.0785267161817533,0.467234464365611,0.0861126984962311,-0.00247755937101574,0.00758598231447778,0.00798031503842283,0.0100635416854935,0.00758598231447778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COG",0.298422440800283,0.282192454595269,0.291443365048269,0.285707999428811,-0.00697907575201423,0.00351554483354227,0.00781450918669872,0.0104946205855565,0.00697907575201423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JOR",0.298422440800283,0.282192454595269,0.291443365048269,0.285707999428811,-0.00697907575201423,0.00351554483354227,0.00781450918669872,0.0104946205855565,0.00697907575201423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LCA",0.298422440800283,0.282192454595269,0.291443365048269,0.285707999428811,-0.00697907575201423,0.00351554483354227,0.00781450918669872,0.0104946205855565,0.00697907575201423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MLI",0.298422440800283,0.282192454595269,0.291443365048269,0.285707999428811,-0.00697907575201423,0.00351554483354227,0.00781450918669872,0.0104946205855565,0.00697907575201423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MOZ",0.298422440800283,0.282192454595269,0.291443365048269,0.285707999428811,-0.00697907575201423,0.00351554483354227,0.00781450918669872,0.0104946205855565,0.00697907575201423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MYT",0.298422440800283,0.282192454595269,0.291443365048269,0.285707999428811,-0.00697907575201423,0.00351554483354227,0.00781450918669872,0.0104946205855565,0.00697907575201423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NIC",0.298422440800283,0.282192454595269,0.291443365048269,0.285707999428811,-0.00697907575201423,0.00351554483354227,0.00781450918669872,0.0104946205855565,0.00697907575201423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SYC",0.298422440800283,0.282192454595269,0.291443365048269,0.285707999428811,-0.00697907575201423,0.00351554483354227,0.00781450918669872,0.0104946205855565,0.00697907575201423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TGO",0.298422440800283,0.282192454595269,0.291443365048269,0.285707999428811,-0.00697907575201423,0.00351554483354227,0.00781450918669872,0.0104946205855565,0.00697907575201423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UKR",0.298422440800283,0.282192454595269,0.291443365048269,0.285707999428811,-0.00697907575201423,0.00351554483354227,0.00781450918669872,0.0104946205855565,0.00697907575201423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AND",-0.0684834275071257,0.227720266019348,-0.0748353691526946,0.223218213584792,-0.00635194164556881,-0.00450205243455626,0.00778560458745532,0.0108539940801251,0.00635194164556881,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARG",-0.0684834275071257,0.227720266019348,-0.0748353691526946,0.223218213584792,-0.00635194164556881,-0.00450205243455626,0.00778560458745532,0.0108539940801251,0.00635194164556881,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIH",-0.0684834275071257,0.227720266019348,-0.0748353691526946,0.223218213584792,-0.00635194164556881,-0.00450205243455626,0.00778560458745532,0.0108539940801251,0.00635194164556881,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BLZ",-0.0684834275071257,0.227720266019348,-0.0748353691526946,0.223218213584792,-0.00635194164556881,-0.00450205243455626,0.00778560458745532,0.0108539940801251,0.00635194164556881,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMR",-0.0684834275071257,0.227720266019348,-0.0748353691526946,0.223218213584792,-0.00635194164556881,-0.00450205243455626,0.00778560458745532,0.0108539940801251,0.00635194164556881,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FRO",-0.0684834275071257,0.227720266019348,-0.0748353691526946,0.223218213584792,-0.00635194164556881,-0.00450205243455626,0.00778560458745532,0.0108539940801251,0.00635194164556881,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GRC",-0.0684834275071257,0.227720266019348,-0.0748353691526946,0.223218213584792,-0.00635194164556881,-0.00450205243455626,0.00778560458745532,0.0108539940801251,0.00635194164556881,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GUF",-0.0684834275071257,0.227720266019348,-0.0748353691526946,0.223218213584792,-0.00635194164556881,-0.00450205243455626,0.00778560458745532,0.0108539940801251,0.00635194164556881,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HRV",-0.0684834275071257,0.227720266019348,-0.0748353691526946,0.223218213584792,-0.00635194164556881,-0.00450205243455626,0.00778560458745532,0.0108539940801251,0.00635194164556881,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NRU",-0.0684834275071257,0.227720266019348,-0.0748353691526946,0.223218213584792,-0.00635194164556881,-0.00450205243455626,0.00778560458745532,0.0108539940801251,0.00635194164556881,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RUS",-0.0684834275071257,0.227720266019348,-0.0748353691526946,0.223218213584792,-0.00635194164556881,-0.00450205243455626,0.00778560458745532,0.0108539940801251,0.00635194164556881,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SHN",-0.0684834275071257,0.227720266019348,-0.0748353691526946,0.223218213584792,-0.00635194164556881,-0.00450205243455626,0.00778560458745532,0.0108539940801251,0.00635194164556881,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TLS",-0.0684834275071257,0.227720266019348,-0.0748353691526946,0.223218213584792,-0.00635194164556881,-0.00450205243455626,0.00778560458745532,0.0108539940801251,0.00635194164556881,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TZA",-0.0684834275071257,0.227720266019348,-0.0748353691526946,0.223218213584792,-0.00635194164556881,-0.00450205243455626,0.00778560458745532,0.0108539940801251,0.00635194164556881,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DZA",0.00564185773814665,-0.282572654183088,0.0130916203425035,-0.28339143996782,0.00744976260435686,-0.000818785784732323,0.00749462294065243,0.00826854838908919,0.00744976260435686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COL",0.514184913007808,0.258519030686876,0.507722490440556,0.261431457718378,-0.00646242256725171,0.00291242703150207,0.00708838039692765,0.00937484959875379,0.00646242256725171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MMR",0.318614445762972,0.111550768571404,0.315820932215671,0.117997995259536,-0.0027935135473014,0.00644722668813281,0.00702641088373918,0.00924074023543421,0.00644722668813281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MHL",0.307896526894463,0.012650369710663,0.305999790074066,0.00804973908824293,-0.00189673682039665,-0.00460063062242009,0.0049762850289948,0.00649736744281674,0.00460063062242009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DNK",1.45374051430673,1.47062911507514,1.45129350470803,1.47455048528996,-0.00244700959869615,0.00392137021481265,0.00462222893610116,0.0063683798135088,0.00392137021481265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NFK",0.173367302458856,-0.0557035781960728,0.174011315052672,-0.0541998827175546,0.000644012593815968,0.00150369547851811,0.00163580326234831,0.00214770807233408,0.00150369547851811,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
